 time            v(vout)         @l1[i]         
 1.00000000e-11  2.15800000e+02  9.46970280e-08 
 1.03393295e-11  2.15800000e+02  9.42229923e-08 
 1.10179885e-11  2.15800000e+02  9.35261443e-08 
 1.23753066e-11  2.15800000e+02  9.79233000e-08 
 1.47471334e-11  2.15800000e+02  9.69655053e-08 
 1.69776504e-11  2.15800000e+02  9.27365293e-08 
 2.14386845e-11  2.15800000e+02  1.01790485e-07 
 2.58058182e-11  2.15799999e+02  1.04805292e-07 
 3.13006835e-11  2.15799999e+02  1.08394074e-07 
 4.22904140e-11  2.15799999e+02  1.11938744e-07 
 6.42698752e-11  2.15799999e+02  8.97516648e-08 
 8.13537534e-11  2.15799998e+02  9.56590291e-08 
 9.90597937e-11  2.15799998e+02  1.16064627e-07 
 1.17282384e-10  2.15799997e+02  1.11319935e-07 
 1.38583221e-10  2.15799997e+02  9.96702204e-08 
 1.66570683e-10  2.15799996e+02  1.09932387e-07 
 1.95962130e-10  2.15799996e+02  1.03818430e-07 
 2.25386789e-10  2.15799995e+02  9.66933083e-08 
 2.77603548e-10  2.15799994e+02  1.14091622e-07 
 3.20675794e-10  2.15799993e+02  1.02326040e-07 
 3.66164379e-10  2.15799992e+02  1.00554165e-07 
 4.20506490e-10  2.15799990e+02  9.77114750e-08 
 4.79764635e-10  2.15799989e+02  1.10122139e-07 
 5.44941159e-10  2.15799987e+02  3.34296455e-06 
 6.06629373e-10  2.15799986e+02  9.51178595e-06 
 7.03431278e-10  2.15799984e+02  1.91919764e-05 
 8.00263319e-10  2.15799982e+02  2.88751806e-05 
 9.00131659e-10  2.15799979e+02  3.88620146e-05 
 1.00000000e-09  2.15799977e+02  4.88488487e-05 
 1.01997367e-09  2.15799977e+02  5.08462155e-05 
 1.05992100e-09  2.15799976e+02  5.48409491e-05 
 1.13981568e-09  2.15799974e+02  6.28304163e-05 
 1.29960502e-09  2.15799970e+02  7.88093508e-05 
 1.61918371e-09  2.15799963e+02  1.10767220e-04 
 2.25834109e-09  2.15799948e+02  1.74682958e-04 
 3.53665585e-09  2.15799919e+02  3.02514434e-04 
 6.09328537e-09  2.15799860e+02  5.58177386e-04 
 1.12065444e-08  2.15799743e+02  1.06950329e-03 
 2.14330625e-08  2.15799508e+02  2.09215510e-03 
 4.18860986e-08  2.15799038e+02  4.13745871e-03 
 8.27921709e-08  2.15798099e+02  8.22806594e-03 
 1.64604316e-07  2.15796221e+02  1.64092804e-02 
 3.28228605e-07  2.15792465e+02  3.27717093e-02 
 6.55477183e-07  2.15784952e+02  6.54965671e-02 
 1.00000000e-06  2.15777044e+02  9.99488488e-02 
 1.06544972e-06  2.15775541e+02  1.06493820e-01 
 1.19634915e-06  2.15772537e+02  1.19583764e-01 
 1.45814801e-06  2.15766527e+02  1.45763650e-01 
 1.98174574e-06  2.15754509e+02  1.98123422e-01 
 2.98174574e-06  2.15731558e+02  2.98123422e-01 
 3.98174574e-06  2.15708609e+02  3.98123422e-01 
 4.98174574e-06  2.15685662e+02  4.98123422e-01 
 5.98174574e-06  2.15662718e+02  5.98123422e-01 
 6.98174574e-06  2.15639776e+02  6.98123422e-01 
 7.98174574e-06  2.15616837e+02  7.98123422e-01 
 8.98174574e-06  2.15593901e+02  8.98123422e-01 
 9.98174574e-06  2.15570966e+02  9.98123422e-01 
 1.09817457e-05  2.15548034e+02  1.09812342e+00 
 1.19817457e-05  2.15525105e+02  1.19812342e+00 
 1.29817457e-05  2.15502178e+02  1.29812342e+00 
 1.39817457e-05  2.15479253e+02  1.39812342e+00 
 1.49817457e-05  2.15456331e+02  1.49812342e+00 
 1.59817457e-05  2.15433412e+02  1.59812342e+00 
 1.69817457e-05  2.15410494e+02  1.69812342e+00 
 1.79817457e-05  2.15387580e+02  1.79812342e+00 
 1.89817457e-05  2.15364667e+02  1.89812342e+00 
 1.99817457e-05  2.15341757e+02  1.99812342e+00 
 2.09817457e-05  2.15318850e+02  2.09812342e+00 
 2.19817457e-05  2.15295945e+02  2.19812342e+00 
 2.29817457e-05  2.15273042e+02  2.29812342e+00 
 2.39817457e-05  2.15250142e+02  2.39812342e+00 
 2.49817457e-05  2.15227244e+02  2.49812342e+00 
 2.59817457e-05  2.15204349e+02  2.59812342e+00 
 2.69817457e-05  2.15181456e+02  2.69812342e+00 
 2.79817457e-05  2.15158566e+02  2.79812342e+00 
 2.89817457e-05  2.15135678e+02  2.89812342e+00 
 2.99817457e-05  2.15112792e+02  2.99812342e+00 
 3.09817457e-05  2.15089909e+02  3.09812342e+00 
 3.19817457e-05  2.15067028e+02  3.19812342e+00 
 3.29817457e-05  2.15044150e+02  3.29812342e+00 
 3.39817457e-05  2.15021274e+02  3.39812342e+00 
 3.49817457e-05  2.14998401e+02  3.49812342e+00 
 3.59817457e-05  2.14975530e+02  3.59812342e+00 
 3.69817457e-05  2.14952661e+02  3.69812342e+00 
 3.79817457e-05  2.14929795e+02  3.79812342e+00 
 3.89817457e-05  2.14906932e+02  3.89812342e+00 
 3.99817457e-05  2.14884070e+02  3.99812342e+00 
 4.09817457e-05  2.14861212e+02  4.09812342e+00 
 4.19817457e-05  2.14838355e+02  4.19812342e+00 
 4.29817457e-05  2.14815501e+02  4.29812342e+00 
 4.39817457e-05  2.14792650e+02  4.39812342e+00 
 4.49817457e-05  2.14769801e+02  4.49812342e+00 
 4.59817457e-05  2.14746954e+02  4.59812342e+00 
 4.69817457e-05  2.14724110e+02  4.69812342e+00 
 4.79817457e-05  2.14701268e+02  4.79812342e+00 
 4.89817457e-05  2.14678429e+02  4.89812342e+00 
 4.94913729e-05  2.14666790e+02  4.94908614e+00 
 5.00010000e-05  2.14655152e+02  5.00004885e+00 
 5.00011000e-05  2.14655150e+02  5.00005885e+00 
 5.00013000e-05  2.14655145e+02  5.00007885e+00 
 5.00015000e-05  2.14655151e+02  5.00007732e+00 
 5.00017500e-05  2.14655172e+02  5.00004848e+00 
 5.00020000e-05  2.14655193e+02  5.00001959e+00 
 5.00020500e-05  2.14655197e+02  5.00001381e+00 
 5.00021500e-05  2.14655206e+02  5.00000225e+00 
 5.00023500e-05  2.14655223e+02  4.99997916e+00 
 5.00027500e-05  2.14655256e+02  4.99993302e+00 
 5.00035500e-05  2.14655323e+02  4.99984080e+00 
 5.00051500e-05  2.14655456e+02  4.99965640e+00 
 5.00083500e-05  2.14655724e+02  4.99928761e+00 
