 time            v(vout)         @l1[i]          @l2[i]          v(nl2,nd1)      @d1[id]         @rl[i]         
 7.80312500e-02 -3.56848799e+01  2.96785158e+00 -3.81469517e+00  8.39169632e+01  6.78254666e+00 -3.96498665e+00 
 7.80312501e-02 -3.56848679e+01  2.96785121e+00 -3.81469158e+00  8.39169662e+01  6.78254270e+00 -3.96498532e+00 
 7.80312503e-02 -3.56848440e+01  2.96785049e+00 -3.81468440e+00  8.39169721e+01  6.78253480e+00 -3.96498266e+00 
 7.80312504e-02 -3.56848380e+01  2.96785031e+00 -3.81468260e+00  8.39169736e+01  6.78253279e+00 -3.96498200e+00 
 7.80312504e-02 -3.56848275e+01  2.96784999e+00 -3.81467946e+00  8.39169762e+01  6.78252939e+00 -3.96498084e+00 
 7.80312505e-02 -3.56848159e+01  2.96785005e+00 -3.81468005e+00  8.39169758e+01 -1.00000008e-03 -3.96497955e+00 
 7.80312507e-02 -3.56847927e+01  2.96785098e+00 -3.81468940e+00  8.39169684e+01 -1.00000008e-03 -3.96497697e+00 
 7.80312510e-02 -3.56847602e+01  2.96785229e+00 -3.81470251e+00  8.39169580e+01 -1.00000008e-03 -3.96497336e+00 
 7.80312510e-02 -3.56847556e+01  2.96785247e+00 -3.81470438e+00  8.39169565e+01 -1.00000008e-03 -3.96497284e+00 
 7.80312511e-02 -3.56847463e+01  2.96785284e+00 -3.81470812e+00  8.39169536e+01 -1.00000008e-03 -3.96497181e+00 
 7.80312513e-02 -3.56847278e+01  2.96785359e+00 -3.81471560e+00  8.39169477e+01 -1.00000008e-03 -3.96496975e+00 
 7.80312516e-02 -3.56846907e+01  2.96785508e+00 -3.81473055e+00  8.39169358e+01 -1.00000008e-03 -3.96496563e+00 
 7.80312522e-02 -3.56846165e+01  2.96785805e+00 -3.81476045e+00  8.39169122e+01 -1.00000008e-03 -3.96495739e+00 
 7.80312534e-02 -3.56844683e+01  2.96786400e+00 -3.81482026e+00  8.39168649e+01 -1.00000008e-03 -3.96494092e+00 
 7.80312559e-02 -3.56841720e+01  2.96787591e+00 -3.81493988e+00  8.39167702e+01 -1.00000008e-03 -3.96490800e+00 
 7.80312609e-02 -3.56835804e+01  2.96789972e+00 -3.81517911e+00  8.39165810e+01 -1.00000008e-03 -3.96484226e+00 
 7.80312708e-02 -3.56824007e+01  2.96794733e+00 -3.81565759e+00  8.39162024e+01 -1.00000008e-03 -3.96471119e+00 
 7.80312906e-02 -3.56800559e+01  2.96804256e+00 -3.81661456e+00  8.39154450e+01 -1.00000008e-03 -3.96445065e+00 
 7.80313303e-02 -3.56754238e+01  2.96823303e+00 -3.81852860e+00  8.39139298e+01 -1.00000008e-03 -3.96393597e+00 
 7.80314097e-02 -3.56663889e+01  2.96861396e+00 -3.82235705e+00  8.39108971e+01 -1.00000008e-03 -3.96293210e+00 
 7.80315659e-02 -3.56494867e+01  2.96936396e+00 -3.82989611e+00  8.39049173e+01 -1.00000008e-03 -3.96105408e+00 
 7.80317222e-02 -3.56337481e+01  2.97011396e+00 -3.83743678e+00  8.38989256e+01 -1.00000008e-03 -3.95930534e+00 
 7.80318784e-02 -3.56191573e+01  2.97086396e+00 -3.84497888e+00  8.38929221e+01 -1.00000008e-03 -3.95768414e+00 
 7.80320347e-02 -3.56056986e+01  2.97161396e+00 -3.85252224e+00  8.38869069e+01 -1.00000008e-03 -3.95618874e+00 
 7.80321909e-02 -3.55933568e+01  2.97236396e+00 -3.86006667e+00  8.38808799e+01 -1.00000008e-03 -3.95481742e+00 
 7.80323472e-02 -3.55821165e+01  2.97311396e+00 -3.86761200e+00  8.38748411e+01 -1.00000008e-03 -3.95356851e+00 
 7.80325034e-02 -3.55719629e+01  2.97386396e+00 -3.87515806e+00  8.38687905e+01 -1.00000008e-03 -3.95244032e+00 
 7.80326597e-02 -3.55628809e+01  2.97461396e+00 -3.88270468e+00  8.38627281e+01 -1.00000008e-03 -3.95143121e+00 
 7.80328159e-02 -3.55548560e+01  2.97536396e+00 -3.89025168e+00  8.38566539e+01 -1.00000008e-03 -3.95053956e+00 
 7.80329722e-02 -3.55478737e+01  2.97611396e+00 -3.89779891e+00  8.38505679e+01 -1.00000008e-03 -3.94976375e+00 
 7.80331284e-02 -3.55419198e+01  2.97686396e+00 -3.90534619e+00  8.38444701e+01 -1.00000008e-03 -3.94910220e+00 
 7.80332847e-02 -3.55369800e+01  2.97761396e+00 -3.91289337e+00  8.38383606e+01 -1.00000008e-03 -3.94855333e+00 
 7.80334409e-02 -3.55330404e+01  2.97836396e+00 -3.92044030e+00  8.38322392e+01 -1.00000008e-03 -3.94811560e+00 
 7.80335972e-02 -3.55300874e+01  2.97911396e+00 -3.92798680e+00  8.38261061e+01 -1.00000008e-03 -3.94778749e+00 
 7.80337534e-02 -3.55281072e+01  2.97986396e+00 -3.93553272e+00  8.38199611e+01 -1.00000008e-03 -3.94756746e+00 
 7.80339097e-02 -3.55270864e+01  2.98061396e+00 -3.94307792e+00  8.38138044e+01 -1.00000008e-03 -3.94745404e+00 
 7.80340659e-02 -3.55270118e+01  2.98136396e+00 -3.95062225e+00  8.38076359e+01 -1.00000008e-03 -3.94744575e+00 
 7.80342222e-02 -3.55278702e+01  2.98211396e+00 -3.95816555e+00  8.38014556e+01 -1.00000008e-03 -3.94754113e+00 
 7.80343784e-02 -3.55296487e+01  2.98286396e+00 -3.96570767e+00  8.37952635e+01 -1.00000008e-03 -3.94773875e+00 
 7.80345347e-02 -3.55323346e+01  2.98361396e+00 -3.97324848e+00  8.37890596e+01 -1.00000008e-03 -3.94803718e+00 
 7.80346909e-02 -3.55359152e+01  2.98436396e+00 -3.98078783e+00  8.37828440e+01 -1.00000008e-03 -3.94843502e+00 
