 time            v(vout)         @l1[i]          v(ns1)         
 0.00000000e+00  1.00270015e-10  5.01350073e-11  1.00270015e-10 
 1.00000000e-09  1.00253099e-10 -1.64137826e-09 -1.69151226e-04 
 1.05623762e-09  1.00252092e-10 -1.74215233e-09 -1.79193246e-04 
 1.16871286e-09  1.00249956e-10 -1.95558936e-09 -2.00333692e-04 
 1.39366334e-09  1.00244875e-10 -2.46089411e-09 -2.48924758e-04 
 1.84356431e-09  1.00230441e-10 -3.85556689e-09 -3.71066058e-04 
 2.74336624e-09  1.00173356e-10 -8.73254250e-09 -7.12944665e-04 
 4.42486783e-09  9.98561491e-11 -2.88964742e-08 -1.68537957e-03 
 6.72527348e-09  9.84818029e-11 -9.04916438e-08 -3.66977743e-03 
 1.04431233e-08  9.09968392e-11 -3.12063752e-07 -8.24959065e-03 
 1.60276444e-08  5.35741985e-11 -1.02809137e-06 -1.73937049e-02 
 2.40869981e-08 -1.09303405e-10 -3.01388845e-06 -3.18856082e-02 
 3.35971258e-08 -5.70602927e-10 -6.68767817e-06 -4.53749686e-02 
 4.80767970e-08 -2.07264706e-09 -1.40605805e-05 -5.64630140e-02 
 7.16813226e-08 -7.09875047e-09 -2.85299355e-05 -6.61351379e-02 
 1.00000000e-07 -1.79903901e-08 -4.84045605e-05 -7.42289639e-02 
 1.04489978e-07 -2.03132087e-08 -5.17435572e-05 -7.43655570e-02 
 1.13469935e-07 -2.52583529e-08 -5.84165993e-05 -7.42552923e-02 
 1.31429849e-07 -3.69397366e-08 -7.16973463e-05 -7.36379844e-02 
 1.67349677e-07 -6.74028338e-08 -9.79719911e-05 -7.26581700e-02 
 2.39189333e-07 -1.56218803e-07 -1.49401497e-04 -7.05206522e-02 
 3.82868645e-07 -4.41410919e-07 -2.47881562e-04 -6.65630973e-02 
 6.70227269e-07 -1.41069582e-06 -4.27661376e-04 -5.85645029e-02 
 7.20227269e-07 -1.63830026e-06 -4.56028032e-04 -5.67349496e-02 
 8.20227269e-07  2.08707639e-07  4.14932903e-03  9.26744764e+00 
 8.23327798e-07  3.46700744e-07  4.45080419e-03  9.72334602e+00 
 8.29528857e-07  6.42180103e-07  5.07965584e-03  1.05587303e+01 
 8.41930973e-07  1.35870882e-06  6.47628718e-03  1.19637394e+01 
 8.66735206e-07  3.36373145e-06  9.69285195e-03  1.39718769e+01 
 9.16343672e-07  1.00038314e-05  1.70838591e-02  1.58254986e+01 
 9.69788616e-07  2.14621901e-05  2.58109859e-02  1.68329138e+01 
 1.03692422e-06  4.26822808e-05  3.74366953e-02  1.78006639e+01 
 1.13060428e-06  8.58053069e-05  5.46920216e-02  1.90383108e+01 
 1.27517651e-06  1.85172791e-04  8.29076022e-02  1.99951553e+01 
 1.29406207e-06  2.01168699e-04  8.66838534e-02  1.99961131e+01 
 1.30672079e-06  2.12288889e-04  8.92150955e-02  1.99963809e+01 
 1.31922536e-06  2.23587566e-04  9.17155548e-02  1.99967712e+01 
 1.34423451e-06  2.47120768e-04  9.67165618e-02  1.99971238e+01 
 1.38723240e-06  2.90497610e-04  1.05314900e-01  1.99976488e+01 
 1.46342801e-06  3.76420948e-04  1.20552123e-01  1.99980330e+01 
 1.61581923e-06  5.82986751e-04  1.51026928e-01  1.99984120e+01 
 1.92060167e-06  1.13486269e-03  2.11976175e-01  1.99985543e+01 
 2.32060167e-06  2.13946825e-03  2.91963770e-01  1.99985175e+01 
 2.72060167e-06  3.46168733e-03  3.71946351e-01  1.99983739e+01 
 3.12060167e-06  5.10086226e-03  4.51922389e-01  1.99982079e+01 
 3.52060167e-06  7.05633087e-03  5.31890510e-01  1.99980096e+01 
 3.92060167e-06  9.32742688e-03  6.11849373e-01  1.99978058e+01 
 4.32060167e-06  1.19134801e-02  6.91797672e-01  1.99975846e+01 
 4.72060167e-06  1.48138163e-02  7.71734113e-01  1.99973631e+01 
 5.12060167e-06  1.80277578e-02  8.51657413e-01  1.99971287e+01 
 5.52060167e-06  2.15546229e-02  9.31566298e-01  1.99968961e+01 
 5.92060167e-06  2.53937261e-02  1.01145950e+00  1.99966531e+01 
 6.32060167e-06  2.95443785e-02  1.09133576e+00  1.99964132e+01 
 6.72060167e-06  3.40058874e-02  1.17119381e+00  1.99961644e+01 
 7.12060167e-06  3.87775564e-02  1.25103241e+00  1.99959197e+01 
